접종일,접종대상자,당일 1차접종자 수,1차접종 누계,1차접종률(%),당일 2차접종자 수,2차접종 누계,2차접종률(%)
2021.06.12,3364288,82931,2157602,64.1,28724,533379,15.9
2021.06.11,3353331,165265,2070561,61.7,55544,504526,15
2021.06.10,3338670,148732,1900981,56.9,68440,448684,13.4
2021.06.09,3102614,104841,1746392,56.2,3076,380200,12.3
2021.06.08,3034302,131465,1636992,53.9,4672,377030,12.4
2021.06.07,3018205,158842,1500832,49.7,5412,372339,12.3
2021.06.06,2286469,158842,1341990,58.7,5412,366927,16
2021.06.05,2282866,463,1341398,58.8,0,366926,16.1
2021.06.04,2275616,31613,1309610,57.5,1135,365789,16.1
2021.06.03,2265073,76685,1232478,54.4,10339,355399,15.7
2021.06.02,2249314,66402,1165736,51.8,8383,346936,15.4
2021.06.01,2231513,73063,1092306,48.9,6277,340624,15.3
2021.05.31,2215425,103600,988327,44.6,7109,333469,15.1
2021.05.30,2195709,75387,912517,41.6,8127,325079,14.8
2021.05.29,2196518,950,911559,41.5,0,325079,14.8
2021.05.28,2188641,33824,877710,40.1,3843,321446,14.7
2021.05.27,2175217,105089,772541,35.5,17084,304336,14
2021.05.26,1129593,122034,650432,57.6,13061,291118,25.8
2021.05.25,1123393,10780,639483,56.9,16175,274749,24.5
2021.05.24,1124159,7748,631695,56.2,21010,253528,22.6
2021.05.23,1123388,7688,623942,55.5,21524,231821,20.6
2021.05.22,1122778,0,623941,55.6,0,231820,20.6
2021.05.21,1121838,2478,621463,55.4,4100,227493,20.3
2021.05.20,1123023,2271,619017,55.1,28449,198625,17.7
2021.05.19,1121981,2205,616705,55,22755,175445,15.6
2021.05.18,1120058,14,616699,55.1,3724,171720,15.3
2021.05.17,1122759,2983,613630,54.7,16649,154898,13.8
2021.05.16,1119118,3197,610403,54.5,13074,141769,12.7
2021.05.15,1118166,0,610338,54.6,0,141769,12.7
2021.05.14,1118491,1021,609382,54.1,3796,137973,11.2
2021.05.13,1113909,3827,604185,54.2,12751,125220,11.2
2021.05.12,1116796,3391,600548,53.8,12435,112781,10.1
2021.05.11,1114297,1617,598266,53.7,13970,98810,8.9
2021.05.10,1113580,2796,594975,53.4,13030,85775,7.7
2021.05.09,1113434,3131,591040,53.1,12457,73295,6.6
2021.05.08,1112095,0,589744,53,0,73003,6.6
2021.05.07,1119900,4044,592073,52.9,2082,70926,6.3
2021.05.06,1108162,11230,574583,51.9,11486,59707,5.4
2021.05.05,1106344,11021,563044,50.9,11715,47940,4.3
2021.05.04,1104738,1788,559605,50.6,1650,46290,4.1
2021.05.03,1102593,20592,540404,49,4665,41624,3.8
2021.05.02,1101302,19795,520200,47.2,5033,36591,3.3
2021.05.01,1100067,491,519845,47.2,0,36591,3.3
2021.04.30,1096899,6655,511162,46.6,691,35900,3.3
2021.04.29,1084245,38789,472376,43.6,4280,31620,2.9
2021.04.28,1088155,33484,438269,40.2,3921,27699,2.5
2021.04.27,1080433,31795,403093,37.3,2062,25631,2.4
2021.04.26,1079832,26585,379120,35.1,3725,21910,2
2021.04.25,1023346,23323,350631,34.2,3411,18513,1.8
2021.04.24,1023346,200,350427,34.2,0,18513,1.8
2021.04.23,1027740,10195,345764,33.6,119,18376,1.8
2021.04.22,1023538,27074,317386,31,2479,15901,1.6
2021.04.21,1019322,22501,291857,28.6,2358,13543,1.3